Section,Item_ID,Description,Done
Database Schema,3.8,Index: CREATE INDEX idx_epic_post ON voters_post_sir(epic_number),
Database Schema,3.9,Additional indexes (booth_id on voter tables constituency_id on booths),
Matching Engine,4.1,Exact EPIC match implemented,
Matching Engine,4.2,Same EPIC different booth classified as MIGRATED,
Matching Engine,4.3,Fuzzy name match (RapidFuzz) threshold >90% -> MODIFIED,
Matching Engine,4.4,No match from Pre -> DELETED,
Matching Engine,4.5,No match from Post -> ADDED,
Matching Engine,4.6,Same EPIC same booth no significant name change -> UNCHANGED,
Matching Engine,4.7,Booth-wise grouping for processing (no row-by-row Python loops at scale),
Matching Engine,4.8,Batch matching for large datasets,
Matching Engine,4.9,Match results persisted to voter_match_results,
KPI Engine,5.1,Total Pre-SIR voters (per booth/constituency),
KPI Engine,5.2,Total Post-SIR voters (per booth/constituency),
KPI Engine,5.3,Additions count,
KPI Engine,5.4,Deletions count,
KPI Engine,5.5,Net change %,
KPI Engine,5.6,Deletion velocity,
KPI Engine,5.7,Youth intake %,
KPI Engine,5.8,Gender shift %,
KPI Engine,5.9,Risk category: HIGH_RISK if deletions > 5% of total_pre else NORMAL,
KPI Engine,5.1,Booth KPIs written to booth_kpis,
KPI Engine,5.11,Constituency-level KPI aggregation available,
API Endpoints,6.1,POST /upload/pre-sir - upload Pre-SIR data (file/CSV),
API Endpoints,6.2,POST /upload/post-sir - upload Post-SIR data (file/CSV),
API Endpoints,6.3,POST /matching/run/{constituency_id} - trigger matching for a constituency,
API Endpoints,6.4,GET /kpi/booth/{booth_id} - booth KPI response,
API Endpoints,6.5,GET /kpi/constituency/{id} - constituency KPI response,
API Endpoints,6.6,GET /dashboard/risk-map/{constituency_id} - returns booth_id lat lng risk_category,
API Endpoints,6.7,Dashboard aggregates API (total additions deletions net roll change high-risk booth count),
Frontend React Dashboard,7.1,Dashboard page - KPI cards Total Additions Total Deletions Net Roll Change High-Risk Booth Count,
Frontend React Dashboard,7.2,Booth Analysis page - table Booth Additions Deletions Risk Youth %,
Frontend React Dashboard,7.3,Risk Heatmap page - react-leaflet map booth markers colored by risk level,
Frontend React Dashboard,7.4,Upload page - Pre-SIR and Post-SIR file upload UI wired to upload APIs,
Frontend React Dashboard,7.5,API client/service for all SIR endpoints,
Frontend React Dashboard,7.6,Routing - Dashboard Booth Analysis Risk Map Upload accessible from app,
Performance & Scale,8.1,No row-by-row Python loops for bulk matching; use batch/vectorized operations,
Performance & Scale,8.2,EPIC indexes in place and used in queries,
Performance & Scale,8.3,Booth-wise grouping in matching logic,
Performance & Scale,8.4,Database joins used where possible instead of app-side iteration,
Performance & Scale,8.5,(Optional) Async/background job for matching (Celery FastAPI BackgroundTasks) for large runs,
Deployment,9.1,Backend: Gunicorn + Uvicorn workers,
Deployment,9.2,Nginx reverse proxy for backend API,
Deployment,9.3,React production build (npm run build or equivalent),
Deployment,9.4,Frontend served via Nginx (or CDN),
Deployment,9.5,Environment variables for DB URL API base URL etc.,
Deployment,9.6,(Optional) Authentication enabled and documented,
Implementation Roadmap,10.1,Week 1: Install PostgreSQL + PostGIS,
Implementation Roadmap,10.2,Week 1: Set up FastAPI project structure,
Implementation Roadmap,10.3,Week 1: Create DB schema (all tables + indexes),
Implementation Roadmap,10.4,Week 2: Build matching engine,
Implementation Roadmap,10.5,Week 2: Test matching for 1 constituency,
Implementation Roadmap,10.6,Week 3: Implement KPI engine,
Implementation Roadmap,10.7,Week 3: Develop basic dashboard (all 4 pages + API integration),
Advanced Future Scope,Caste inference,Caste inference AI model,
Advanced Future Scope,Turnout,Turnout probability modeling,
Advanced Future Scope,Booth sim,Booth win/loss simulation,
Advanced Future Scope,ML anomaly,ML anomaly detection,
Advanced Future Scope,OCR,Automated OCR correction,
Advanced Future Scope,Cluster,Cluster analysis (e.g. scikit-learn),
Advanced Future Scope,Scale-out,Scale-out: read replicas Redis cache Celery/RabbitMQ for queues,
